NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	ChannelAllocAndOptId	CellLoadSharingId	clsAcc	clsLevel	clsRamp	clsState	hoClsAcc	rHyst
TO3BSC1	1	1	1	T35M2	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	T54M1	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	T35M3	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	T35M1	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	T54M2	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	T54M3	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	T54MP3	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	T54MP2	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	T54MP1	1	1	80	5	10	ACTIVE	ON	75
TO3BSC1	1	1	1	TO3TS0	1	1	80	5	10	ACTIVE	ON	75
