NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	ChannelGroupId	band	bccd	cbch	hopType	numReqBpc	numReqCs3Cs4Bpc	numReqEgprsBpc	odpdchLimit	sas	scType	sdcch	tn	tn7Bcch	tnBcch
TO3BSC1	1	1	1	T35M2	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	T54M1	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	T35M3	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	T35M1	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	T54M2	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	T54M3	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	T54MP3	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	T54MP2	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	T54MP1	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
TO3BSC1	1	1	1	TO3TS0	0	null	YES	NO	DEFAULT	8	0	4	100	QUALITY	UL	1	1#2#7	EGPRS	EGPRS
