NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	ChannelAllocAndOptId	DynamicFrHrModeAdaptionId	dmQb	dmQbAmr	dmQbNAmr	dmQg	dmQgAmr	dmQgNAmr	dmSupp	dmtFAmr	dmtFNAmr	dmtHAmr	dmtHNAmr
TO3BSC1	1	1	1	T35M2	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	T54M1	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	T35M3	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	T35M1	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	T54M2	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	T54M3	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	T54MP3	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	T54MP2	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	T54MP1	1	1	ON	50	0	ON	35	0	OFF	100	100	10	0
TO3BSC1	1	1	1	TO3TS0	1	1	ON	45	0	ON	35	0	ON	100	100	40	0
