NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	ChannelAllocAndOptId	IdleChannelMeasurementId	icmState	intAve	limit1	limit2	limit3	limit4
TO3BSC1	1	1	1	T35M2	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	T54M1	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	T35M3	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	T35M1	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	T54M2	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	T54M3	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	T54MP3	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	T54MP2	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	T54MP1	1	1	ACTIVE	25	4	8	12	18
TO3BSC1	1	1	1	TO3TS0	1	1	ACTIVE	25	4	8	12	18
