NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	PowerControlId	PowerControlUplinkId	bsRxMin	bsRxSuff	cchPwr	dmsPcState	dtxU	gamma	lCompUl	msrPwrOffset	msRxMin	msRxSuff	msTxPwr	qCompUl	qDesUl	qDesUlAfr	qDesUlAhr	ssDesUl	ssDesUlAfr	ssDesUlAhr	ssOffsetUl	ssOffsetUlAfr	ssOffsetUlAwb
TO3BSC1	1	1	1	T35M2	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	T54M1	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	T35M3	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	T35M1	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	T54M2	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	T54M3	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	T54MP3	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	T54MP2	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	T54MP1	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	40	94	92	92	10	10	0
TO3BSC1	1	1	1	TO3TS0	1	1	150	150	33	ACTIVE	USE	32	60	-2	100	0	33	60	30	40	30	94	92	92	10	10	0
