NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	ChannelAllocAndOptId	SubcellLoadDistributionId	scld	scldLOl	scldLUl	scldSc
TO3BSC1	1	1	1	T35M2	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	T54M1	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	T35M3	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	T35M1	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	T54M2	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	T54M3	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	T54MP3	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	T54MP2	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	T54MP1	1	1	OFF	20	20	UL
TO3BSC1	1	1	1	TO3TS0	1	1	OFF	20	20	UL
